"","x","y","TagId","freq","num_x","num_y","total","unique_nodes","easting","northing","id","total_nodes","avex","avey","zone","letter","date","time_of_day","hour"
"237",-81.3586278210335,27.198761732093,"61526633",2019-12-11 17:40:00,-1712853.74985036,-11094358.8356079,-3.68766991913869,20,464530.100120745,3008440.20020415,"61526633 2019-12-11 17:40:00",20,464481.308633617,3008501.05320682,17,"R","2019-12-11","17:40:00",17
"238",-81.3584327661522,27.1991120444229,"61526633",2019-12-11 17:50:00,-165749.618198963,-1073549.04369495,-0.356833917823943,15,464546.800094027,3008463.600222,"61526633 2019-12-11 17:50:00",15,464500.738073733,3008539.79980857,17,"R","2019-12-11","17:50:00",17
"239",-81.3531294258533,27.19693820188,"61611E2D",2019-12-10 15:00:00,-1287134.90416149,-8326610.79755997,-2.76788140944459,8,464964.999958399,3008180.00001314,"61611E2D 2019-12-10 15:00:00",8,465025.307720741,3008297.52645754,17,"R","2019-12-10","15:00:00",15
"240",-81.3529689441898,27.1965769314803,"61611E2D",2019-12-10 15:10:00,-1587903.06282723,-10271826.1910175,-3.41454357106911,18,465062.722227204,3008241.05566732,"61611E2D 2019-12-10 15:10:00",18,465041.089614812,3008257.46610736,17,"R","2019-12-10","15:10:00",15
"241",-81.3532366513745,27.1959205510398,"61611E2D",2019-12-10 15:20:00,-1441135.8977177,-9322729.43520497,-3.09912121028093,20,465020.450028316,3008269.95011627,"61611E2D 2019-12-10 15:20:00",20,465014.370182397,3008184.83777854,17,"R","2019-12-10","15:20:00",15
"242",-81.3531431713351,27.1955701729183,"61611E2D",2019-12-10 15:30:00,-356327.791703249,-2305014.64405948,-0.766257569307601,15,465013.33330909,3008250.00008608,"61611E2D 2019-12-10 15:30:00",15,465023.519474308,3008146.0025802,17,"R","2019-12-10","15:30:00",15
"243",-81.3534714762184,27.1959653338142,"61611E2D",2019-12-10 15:40:00,-1873198.65041445,-12118375.7600473,-4.02846107107533,22,465004.045463806,3008275.40920044,"61611E2D 2019-12-10 15:40:00",22,464991.126230352,3008189.86363258,17,"R","2019-12-10","15:40:00",15
"244",-81.353383536083,27.1959878501221,"61611E2D",2019-12-10 15:50:00,-607339.179415255,-3929018.66502144,-1.30610620266461,19,465040.473690632,3008245.73697542,"61611E2D 2019-12-10 15:50:00",19,464999.843179835,3008192.33306278,17,"R","2019-12-10","15:50:00",15
"245",-81.3533758989254,27.1962253452162,"61611E2D",2019-12-10 16:40:00,-926799.380153892,-5995722.85655826,-1.99311405871966,26,464986.500021091,3008337.65389442,"61611E2D 2019-12-10 16:40:00",26,465000.673744307,3008218.63672459,17,"R","2019-12-10","16:40:00",16
"246",-81.3544671513547,27.1967088686185,"61611E2D",2019-12-10 16:50:00,-1030788.9518012,-6670127.88973718,-2.21726186467024,25,464968.360010836,3008337.96006179,"61611E2D 2019-12-10 16:50:00",25,464892.743715008,3008272.49862487,17,"R","2019-12-10","16:50:00",16
"247",-81.3536236559782,27.1961299712238,"61611E2D",2019-12-10 17:00:00,-2166796.43214975,-14018300.2868396,-4.66001673597809,27,464988.481484075,3008367.00008255,"61611E2D 2019-12-10 17:00:00",27,464976.10521885,3008208.14196011,17,"R","2019-12-10","17:00:00",17
"248",-81.3535011166364,27.197101633248,"61611E2D",2019-12-10 17:10:00,-1984617.15699439,-12839789.4416088,-4.26809902401702,27,465010.703712277,3008359.59265623,"61611E2D 2019-12-10 17:10:00",27,464988.545445348,3008315.73245092,17,"R","2019-12-10","17:10:00",17
"249",-81.3535499855884,27.1965814276284,"61611E2D",2019-12-10 17:20:00,-1356649.59826999,-8776981.98460713,-2.91762927785888,15,464960.0000057,3008223.33346305,"61611E2D 2019-12-10 17:20:00",15,464983.54282542,3008258.12628538,17,"R","2019-12-10","17:20:00",17
"250",-81.3532097155872,27.1966665434377,"61611E2D",2019-12-10 17:30:00,-718879.335882339,-4650539.77308028,-1.5459196485836,15,464960.0000057,3008223.33346305,"61611E2D 2019-12-10 17:30:00",15,465017.270814165,3008267.45901133,17,"R","2019-12-10","17:30:00",17
"251",-81.3554001412864,27.198667492634,"61611E2D",2019-12-10 18:50:00,-1293465.50694557,-8372137.87764602,-2.78283747001058,9,464751.1113085,3008618.88893193,"61611E2D 2019-12-10 18:50:00",9,464800.952583354,3008489.70443616,17,"R","2019-12-10","18:50:00",18
"252",-81.3555569238465,27.1987543452778,"61611E2D",2019-12-10 19:00:00,-1063357.70198569,-6882984.31422759,-2.28784635493317,12,464856.666715403,3008446.6667017,"61611E2D 2019-12-10 19:00:00",12,464785.451913246,3008499.36858135,17,"R","2019-12-10","19:00:00",19
"253",-81.3554063170525,27.1983917080388,"61611E2D",2019-12-10 19:10:00,-1604867.48558504,-10387641.232091,-3.45281111762574,14,464854.285756816,3008444.28578934,"61611E2D 2019-12-10 19:10:00",14,464800.254318166,3008459.15928174,17,"R","2019-12-10","19:10:00",19
"254",-81.3552394939148,27.1981709963897,"61611E2D",2019-12-10 19:20:00,-634174.961801917,-4104572.63800902,-1.36435492014942,12,464806.666700856,3008446.66673745,"61611E2D 2019-12-10 19:20:00",12,464816.707468219,3008434.66563635,17,"R","2019-12-10","19:20:00",19
"255",-81.3557087476981,27.198664877687,"61611E2D",2019-12-10 19:30:00,-1812680.36452281,-11733600.0726212,-3.90016321040977,22,464831.000044236,3008484.72734052,"61611E2D 2019-12-10 19:30:00",22,464770.386963462,3008489.5014915,17,"R","2019-12-10","19:30:00",19
"256",-81.3552409501644,27.1983002957718,"61611E2D",2019-12-10 19:40:00,-1064466.67931492,-6889585.43536962,-2.29007886240469,24,464873.333387666,3008480.00007333,"61611E2D 2019-12-10 19:40:00",24,464816.603825242,3008448.98770658,17,"R","2019-12-10","19:40:00",19
"257",-81.355316033149,27.1981995038964,"61611E2D",2019-12-10 19:50:00,-1607787.5512243,-10406269.0305582,-3.45902743140943,26,464870.846213177,3008476.30777235,"61611E2D 2019-12-10 19:50:00",26,464809.135835383,3008437.84471465,17,"R","2019-12-10","19:50:00",19
"258",-81.3556065685108,27.1984665485313,"61611E2D",2019-12-10 20:00:00,-793142.53717296,-5133915.54592185,-1.70648861493974,28,464861.500047057,3008444.42865769,"61611E2D 2019-12-10 20:00:00",28,464780.444609626,3008467.50513078,17,"R","2019-12-10","20:00:00",20
"259",-81.3551202107277,27.1978592388174,"61611E2D",2019-12-10 20:10:00,-1235524.81591184,-7996397.79213956,-2.6580233759678,24,464848.416684936,3008446.83347964,"61611E2D 2019-12-10 20:10:00",24,464828.423663498,3008400.10078092,17,"R","2019-12-10","20:10:00",20
"260",-81.3555814687778,27.1978437805479,"61611E2D",2019-12-10 20:20:00,-510672.32041585,-3305427.9704274,-1.09873341266849,24,464831.750020258,3008471.83345655,"61611E2D 2019-12-10 20:20:00",24,464782.734854291,3008398.51807138,17,"R","2019-12-10","20:20:00",20
"261",-81.3561816303018,27.1984980488607,"61611E2D",2019-12-10 20:30:00,-1401262.88395794,-9071327.30023398,-3.01526151659104,28,464847.53573108,3008465.82157012,"61611E2D 2019-12-10 20:30:00",28,464723.499519921,3008471.15592472,17,"R","2019-12-10","20:30:00",20
